caspase_signal,time,position,date
1.0290336176237989,24,0,221011
0.905753774304856,24,1,221011
0.7403005988475344,24,2,221011
1.453013554695044,24,3,221011
1.2467806765159106,24,4,221011
1.0531796149612214,24,5,221011
0.3691794255633576,24,6,221011
0.586851941382971,24,7,221011
2.331830733799757,24,8,221011
1.1009197688110952,24,9,221011
0.6712943806797381,24,10,221011
0.8615759906224055,24,11,221011
1.047779141357369,24,12,221011
1.9431712219737285,24,13,221011
1.427067378177775,24,14,221011
3.044096369591189,24,15,221011
2.0062050056919305,24,16,221011
1.5112731480218096,24,17,221011
0.9471366794718392,24,18,221011
2.2197223934970984,24,19,221011
1.8000616255222432,24,20,221011
1.847917707590384,24,21,221011
1.1704030774234764,24,22,221011
0.6716497095169701,24,23,221011
1.1138772045287626,24,24,221011
0.4480810802807308,24,25,221011
1.1292020219083383,24,26,221011
0.3744711244391481,24,27,221011
6.228849742243588,24,28,221011
1.1556856238637698,24,29,221011
1.8919816162249912,24,30,221011
1.546230972715952,24,31,221011
0.5519958663595225,24,32,221011
1.963220384673988,24,33,221011
1.3638569158896512,24,34,221011
1.483227929133592,24,35,221011
7.093994934285315,24,36,221011
1.1520961155126923,24,37,221011
2.535533051773355,24,38,221011
1.6680583481293692,24,39,221011
1.7224527431996313,24,40,221011
1.6557828789879585,24,41,221011
2.1141549771601347,24,42,221011
6.79218873739203,24,43,221011
4.279453176808294,48,0,221011
1.7860937532023589,48,1,221011
2.963872776613121,48,2,221011
2.1834315788450605,48,3,221011
4.370922450013723,48,4,221011
3.779728843068088,48,5,221011
1.770191412386009,48,6,221011
2.0424246047489905,48,7,221011
5.056135987014,48,8,221011
2.4917524109106965,48,9,221011
2.6621968053638336,48,10,221011
2.155819482111128,48,11,221011
1.81509935621356,48,12,221011
6.483797252392585,48,13,221011
5.192964208725119,48,14,221011
4.660290290994271,48,15,221011
5.75713259118244,48,16,221011
3.0612180887878706,48,17,221011
2.817122680599977,48,18,221011
4.008644621980937,48,19,221011
3.2390597238458176,48,20,221011
4.618011995959968,48,21,221011
2.652227120656509,48,22,221011
1.9803808375709933,48,23,221011
2.855746651571304,48,24,221011
3.2776198393013503,48,25,221011
3.0678176636987087,48,26,221011
2.282876491776353,48,27,221011
6.23362757394383,48,28,221011
1.998851585788985,48,29,221011
6.564021507500812,48,30,221011
3.815489749430524,48,31,221011
1.7575432826444448,48,32,221011
3.4032025488059663,48,33,221011
4.192300886324083,48,34,221011
8.410989435260257,48,35,221011
11.468407831741835,48,36,221011
2.26519303776525,48,37,221011
6.225668877631192,48,38,221011
2.858678647607773,48,39,221011
3.653284724542114,48,40,221011
6.12673125728989,48,41,221011
4.724336857984942,48,42,221011
6.195059148805943,48,43,221011
1.6757541703086052,24,0,221025
2.190273524679504,24,1,221025
5.212917444847548,24,2,221025
1.8706701250943956,24,3,221025
1.2410566930591584,24,4,221025
4.645592631841954,24,5,221025
3.5741050498510165,24,6,221025
1.8978472062770684,24,7,221025
2.381174448938293,24,8,221025
2.2876669449081803,24,9,221025
5.649342881957988,24,10,221025
3.52542077074948,24,11,221025
1.8612158325520785,24,12,221025
3.157686755538351,24,13,221025
2.920304721917394,24,14,221025
1.6766797959149755,24,15,221025
2.586852416195037,24,16,221025
4.45773315178588,24,17,221025
3.4181108742339736,24,18,221025
3.289655440101009,24,19,221025
4.232692144733497,24,20,221025
3.7984210741604287,24,21,221025
1.4108278708424375,24,22,221025
1.6327881619937694,24,23,221025
1.670134159544586,24,24,221025
1.6711028242786177,24,25,221025
3.210016003012332,24,26,221025
4.401418687132973,24,27,221025
2.270326967592593,24,28,221025
2.7420129682270478,24,29,221025
2.5596257920643986,24,30,221025
4.496528781252208,24,31,221025
2.5862984437910934,24,32,221025
3.92705719168043,24,33,221025
3.581478396931153,24,34,221025
4.230825994982044,24,35,221025
3.243041783305721,24,36,221025
2.2608023113982187,24,37,221025
2.3196633515399263,24,38,221025
1.814132625195397,24,39,221025
2.174137727380109,24,40,221025
3.5017433751743376,24,41,221025
3.9392424106436894,24,42,221025
0.8590550394565978,24,43,221025
3.070062683488058,24,44,221025
1.528429109963124,24,45,221025
3.5148081765032217,24,46,221025
2.5230603618551,24,47,221025
0.4961377221343892,24,48,221025
1.6330306088126472,24,49,221025
4.538268671144183,24,50,221025
5.103456558358854,24,51,221025
2.8521617305344926,24,52,221025
2.9371092313350498,24,53,221025
3.16580558960591,24,54,221025
5.705572988023159,24,55,221025
1.3148290289567155,48,0,221025
1.6178709975263386,48,1,221025
2.992317394794175,48,2,221025
3.387048017672364,48,3,221025
3.053886174643665,48,4,221025
4.523569494215287,48,5,221025
3.481939209628108,48,6,221025
1.9965886612630088,48,7,221025
1.9736413846284808,48,8,221025
2.2560807614532488,48,9,221025
3.3897538667077747,48,10,221025
2.55716981614746,48,11,221025
1.848263307789424,48,12,221025
2.042129839537635,48,13,221025
2.519150741996527,48,14,221025
2.5334771953596134,48,15,221025
1.8494188592666656,48,16,221025
1.831041941177933,48,17,221025
3.839661391199397,48,18,221025
1.7057656935581655,48,19,221025
2.764548388041082,48,20,221025
2.2223240869284298,48,21,221025
0.8457269937666392,48,22,221025
2.081289341108772,48,23,221025
1.1612656802046977,48,24,221025
1.5691207627118644,48,25,221025
3.4942994516538826,48,26,221025
3.029052136281715,48,27,221025
3.8506822360569015,48,28,221025
1.8847810327917789,48,29,221025
6.160781678984082,48,30,221025
4.130858215988662,48,31,221025
3.933913572901244,48,32,221025
6.257243252765184,48,33,221025
3.3425637819033582,48,34,221025
2.378702237846146,48,35,221025
4.0116467162730505,48,36,221025
1.7155828246121536,48,37,221025
1.826655824058453,48,38,221025
3.996160234700261,48,39,221025
3.777657690113783,48,40,221025
3.141156375144961,48,41,221025
3.00863939728944,48,42,221025
2.005878435555021,48,43,221025
3.711102637643197,48,44,221025
1.8606079606892183,48,45,221025
3.698295854696829,48,46,221025
3.891068352118231,48,47,221025
0.5300742103894546,48,48,221025
3.165880350337792,48,49,221025
1.6109968751517898,48,50,221025
5.450033894836474,48,51,221025
3.055360463626766,48,52,221025
3.0024994746184834,48,53,221025
2.360894735829824,48,54,221025
4.296297834203597,48,55,221025
